county,lat_county_center,long_county_center
BARKING AND DAGENHAM,51.62107189690469,0.1295831523911782
BARNET,51.812556739939815,-0.21821258431300045
BARNSLEY,53.57185388194895,-1.548719611417665
BATH AND NORTH EAST SOMERSET,51.35493946050618,-2.4866746743985093
BEDFORD,52.145464186035674,-0.45497371054578933
BEXLEY,51.336235834634266,0.14633307491567513
BIRMINGHAM,52.1217725303012,-1.881330089874134
BLACKBURN WITH DARWEN,53.6371943441071,-2.4637016842126465
BLACKPOOL,53.882118373353435,-3.0228998420731488
BLAENAU GWENT,51.7515994147433,-3.1862423884354425
BOLTON,53.73812777707694,-2.4794095513925685
BRACKNELL FOREST,51.457929254742105,-0.7336441271286038
BRADFORD,53.97213188302465,-1.8738745478644683
BRENT,51.761689263743406,-0.27569274399552596
BRIDGEND,51.52287818548276,-3.6137477049338744
BRIGHTON AND HOVE,50.94891440968336,-0.15078087335784018
"BRISTOL, CITY OF",51.532050797898165,-2.577487564873059
BROMLEY,51.2251371203518,0.03905161935190247
BUCKINGHAMSHIRE,51.929270690794894,-0.8054004863357522
BURY,53.615544848191554,-2.3088647308372083
CAERPHILLY,51.62780702578183,-3.1973667128864927
CALDERDALE,53.76975657124361,-1.9616108233927705
CAMBRIDGESHIRE,52.1333943224832,-0.235037336027703
CAMDEN,51.69346289078886,-0.16294115095375744
CARDIFF,51.56639981551031,-3.2223138493553845
CARMARTHENSHIRE,51.921100614177256,-4.211294703787426
CENTRAL BEDFORDSHIRE,51.99983075111246,-0.4775810785914261
CEREDIGION,52.29791278496273,-3.9524391371657166
CHESHIRE EAST,53.209727146196066,-2.2923547099451143
CHESHIRE WEST AND CHESTER,53.12468061861604,-2.703640874356098
CITY OF LONDON,51.515869084539396,-0.09345024349003202
CONWY,53.12544695812461,-3.7469288963227827
CORNWALL,50.24910242275182,-4.642073845164391
COUNTY DURHAM,54.46925879540021,-1.840982817184713
COVENTRY,52.20616982701037,-1.5190329484575433
CROYDON,51.33122440611814,-0.07773712820750701
CUMBRIA,54.47057455781658,-2.902599381023396
DARLINGTON,54.51354559615637,-1.568020639791303
DENBIGHSHIRE,53.073109199622365,-3.347661740795133
DERBY,52.98316703865865,-1.471763523917659
DERBYSHIRE,52.962295670872784,-1.6019350191297532
DEVON,50.7599882306491,-3.6572707805745353
DONCASTER,53.57908753083319,-1.1091521034191831
DORSET,50.80113895942457,-2.4141097297627523
DUDLEY,52.46606326374031,-2.101688181869218
EALING,51.69946371446451,-0.3141330355106409
EAST RIDING OF YORKSHIRE,53.950643966385364,-0.661980908840625
EAST SUSSEX,50.831962350565284,0.334416838340035
ENFIELD,51.79828016377681,-0.08133939111410464
ESSEX,51.61173231991035,0.5408797091416492
FLINTSHIRE,53.184465239438794,-3.176529671964677
GATESHEAD,54.984099393604204,-1.6867952438915994
GLOUCESTERSHIRE,51.951167848878875,-2.152133664163344
GREENWICH,51.29854709873998,0.050097967454950626
GWYNEDD,52.90797886904283,-3.8158069968110295
HACKNEY,51.715570414603185,-0.06047671572461695
HALTON,53.37945371869939,-2.6885287545160086
HAMMERSMITH AND FULHAM,51.45668892172619,-0.2173486660446755
HAMPSHIRE,51.35882166595462,-1.2472249287227644
HARINGEY,51.7148774683694,-0.10670896820865851
HARROW,51.69502576464427,-0.33601389197038567
HARTLEPOOL,54.670170095021554,-1.270287933549259
HAVERING,51.68802994453279,0.23538932801772625
"HEREFORDSHIRE, COUNTY OF",52.056609077233,-2.7394983654942298
HERTFORDSHIRE,51.975460267738406,-0.27681096515854486
HILLINGDON,51.67746962181455,-0.4416839717345091
HOUNSLOW,51.31547887230318,-0.378514416117024
ISLE OF ANGLESEY,53.27636111547862,-4.323494518374523
ISLE OF WIGHT,50.62684932668259,-1.333559936200879
ISLES OF SCILLY,49.923857744201605,-6.302263516809768
ISLINGTON,51.664542405767286,-0.10992956231287268
KENSINGTON AND CHELSEA,51.49977592399342,-0.18981067127969808
KENT,51.06700080261478,0.7217726152172956
"KINGSTON UPON HULL, CITY OF",53.8941203552725,-0.3038095397955073
KINGSTON UPON THAMES,51.42789650652533,-0.28368404321251495
KIRKLEES,53.847786892532255,-1.780818709584776
KNOWSLEY,53.48284426793964,-2.83298003122263
LAMBETH,51.25292635855141,-0.11380239974824878
LANCASHIRE,53.39410753082716,-2.460896960711638
LEEDS,53.55493832948552,-1.5074416113148352
LEICESTER,52.70360173189422,-1.1304169200322056
LEICESTERSHIRE,52.372384242153444,-1.3774814075684407
LEWISHAM,51.2614615729271,-0.01730227157466495
